case_id,num_hard_constraint_facts,ground_truth_result,ground_truth_model,llm_judgment,llm_modifications,llm_response_raw,llm_correctness,llm_validation_result,error,elapsed_time_sec,has_hard_constraint,llm_flips,llm_modified_count,total_facts,flip_rate_on_modified,flip_rate_on_all,flipped_details,smt_flips,smt_flip_rate
case_10,1,UNSAT,,UNSAT,,"{""judgment"": ""UNSAT"", ""reasoning"": ""因為internal_control_executed固定為false，表示內部控制制度未確實執行，依銀行法第129條第7款規定必須處罰，無法達成無罰款狀態。""}",True,,,2.079249143600464,True,0,0,0,0.0,0.0,,,
case_11,0,SAT,,SAT,"{'violation_148_1_2': False, 'violation_148_2_1': False, 'violation_148_3_1': False, 'violation_148_3_2': False, 'internal_control_established': True, 'internal_control_executed': True, 'audit_system_established': True, 'audit_system_executed': True, 'internal_handling_system_established': True, 'internal_handling_system_executed': True}","{""judgment"": ""SAT"", ""modifications"": {""violation_148_1_2"": false, ""violation_148_2_1"": false, ""violation_148_3_1"": false, ""violation_148_3_2"": false, ""internal_control_established"": true, ""internal_control_executed"": true, ""audit_system_established"": true, ""audit_system_executed"": true, ""internal_handling_system_established"": true, ""internal_handling_system_executed"": true}, ""reasoning"": ""將所有違規標記改為無違規，並確保內部控制、稽核及處理制度均已建立並執行，符合保險法相關規定，故無罰鍰。""}",False,UNSAT,,3.186387062072754,False,10,10,34,100.0,29.41,"[{""variable"": ""violation_148_1_2"", ""original"": true, ""modified"": false}, {""variable"": ""violation_148_2_1"", ""original"": true, ""modified"": false}, {""variable"": ""violation_148_3_1"", ""original"": true, ""modified"": false}, {""variable"": ""violation_148_3_2"", ""original"": true, ""modified"": false}, {""variable"": ""internal_control_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_executed"", ""original"": false, ""modified"": true}, {""variable"": ""audit_system_established"", ""original"": false, ""modified"": true}, {""variable"": ""audit_system_executed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_handling_system_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_handling_system_executed"", ""original"": false, ""modified"": true}]",11,32.35
case_12,1,UNSAT,,UNSAT,,"{""judgment"": ""UNSAT"", ""reasoning"": ""因為internal_handling_compliance固定為false，且無法修改，表示內部處理制度不合規，依法律規定必須合規才能避免罰款，故無法達到PENALTY=false的合規狀態。""}",True,,,2.226933002471924,True,0,0,0,0.0,0.0,,,
case_13,1,UNSAT,,SAT,"{'internal_control_system_established': True, 'internal_control_system_executed': True, 'internal_handling_system_established': True, 'internal_operation_system_established': True, 'internal_operation_system_executed': True, 'internal_control_established': True, 'internal_control_executed': True, 'internal_handling_established': True, 'internal_control_compliance': True, 'internal_handling_compliance': True, 'internal_operation_compliance': True}","{""judgment"": ""SAT"", ""modifications"": {""internal_control_system_established"": true, ""internal_control_system_executed"": true, ""internal_handling_system_established"": true, ""internal_operation_system_established"": true, ""internal_operation_system_executed"": true, ""internal_control_established"": true, ""internal_control_executed"": true, ""internal_handling_established"": true, ""internal_control_compliance"": true, ""internal_handling_compliance"": true, ""internal_operation_compliance"": true}, ""reasoning""",False,UNSAT,,4.307146072387695,True,11,11,16,100.0,68.75,"[{""variable"": ""internal_control_system_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_system_executed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_handling_system_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_operation_system_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_operation_system_executed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_executed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_handling_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_compliance"", ""original"": false, ""modified"": true}, {""variable"": ""internal_handling_compliance"", ""original"": false, ""modified"": true}, {""variable"": ""internal_operation_compliance"", ""original"": false, ""modified"": true}]",,
case_14,2,SAT,,SAT,"{'internal_control_established': True, 'internal_control_executed': True}","{""judgment"": ""SAT"", ""modifications"": {""internal_control_established"": true, ""internal_control_executed"": true}, ""reasoning"": ""建立並確實執行內部控制制度是銀行法及相關辦法的核心要求，透過完善內部控制及持續執行，可防止理專及行員挪用客戶資金行為，達成合規並避免罰鍰。""}",False,UNSAT,,2.611453294754028,True,2,2,7,100.0,28.57,"[{""variable"": ""internal_control_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_executed"", ""original"": false, ""modified"": true}]",3,42.86
case_15,2,UNSAT,,SAT,"{'internal_control_system_established': True, 'internal_handling_system_established': True, 'internal_operation_system_established': True, 'internal_operation_executed': True, 'internal_control_established': True, 'internal_handling_established': True, 'internal_operation_established': True}","{""judgment"": ""SAT"", ""modifications"": {""internal_control_system_established"": true, ""internal_handling_system_established"": true, ""internal_operation_system_established"": true, ""internal_operation_executed"": true, ""internal_control_established"": true, ""internal_handling_established"": true, ""internal_operation_established"": true}, ""reasoning"": ""雖然internal_control_executed和internal_handling_executed為false且不可修改，但通過建立完整的內部控制制度、內部處理制度和內部作業制度，並確實執行內部作業制度，可以達到合規狀態，避免罰款。""}",False,UNSAT,,3.036412000656128,True,7,7,13,100.0,53.85,"[{""variable"": ""internal_control_system_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_handling_system_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_operation_system_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_operation_executed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_handling_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_operation_established"", ""original"": false, ""modified"": true}]",,
case_16,1,UNSAT,,UNSAT,,"{""judgment"": ""UNSAT"", ""reasoning"": ""internal_control_established為false且為固定值，表示銀行未建立內部控制制度，依銀行法第129條第7款規定必須處罰，無法達到無罰款狀態。""}",True,,,1.274818897247314,True,0,0,0,0.0,0.0,,,
case_17,0,SAT,,SAT,"{'violation_flag': False, 'violation': False}","{""judgment"": ""SAT"", ""modifications"": {""violation_flag"": false, ""violation"": false}, ""reasoning"": ""將違規標誌及違規事實設為false，表示不存在經營管理不當缺失，故無需處分，達到無罰款狀態。""}",False,UNSAT,,2.108426809310913,False,2,2,5,100.0,40.0,"[{""variable"": ""violation_flag"", ""original"": true, ""modified"": false}, {""variable"": ""violation"", ""original"": true, ""modified"": false}]",3,60.0
case_18,0,SAT,,SAT,"{'internal_control_system_established': True, 'internal_control_system_executed': True, 'internal_control_established': True, 'internal_control_executed': True, 'violate_law': False, 'impair_sound_operation': False, 'subsidiary_business_management': False}","{""judgment"": ""SAT"", ""modifications"": {""internal_control_system_established"": true, ""internal_control_system_executed"": true, ""internal_control_established"": true, ""internal_control_executed"": true, ""violate_law"": false, ""impair_sound_operation"": false, ""subsidiary_business_management"": false}, ""reasoning"": ""建立並執行內部控制制度，且不違反法律規定及不妨礙健全經營，並善盡對子公司管理義務，符合金融控股公司法相關規定，避免罰鍰。""}",False,UNSAT,,3.651118993759155,False,7,7,66,100.0,10.61,"[{""variable"": ""internal_control_system_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_system_executed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_executed"", ""original"": false, ""modified"": true}, {""variable"": ""violate_law"", ""original"": true, ""modified"": false}, {""variable"": ""impair_sound_operation"", ""original"": true, ""modified"": false}, {""variable"": ""subsidiary_business_management"", ""original"": true, ""modified"": false}]",8,12.12
case_19,25,UNSAT,,UNSAT,,"{""judgment"": ""UNSAT"", ""reasoning"": ""根據固定條件，use_of_duty_info_for_own_or_others_trading為true，表示存在利用職務資訊為自己或他人交易的行為，且violation_penalties為true，表示有違規處分。此為核心違規事實，無法修改以達到無罰款狀態。其他相關違規如personnel_qualification_compliance、business_operated_according_internal_control_and_law、fiduciary_duty_compliance均為false，無法調整至合規。故無法找到符合無罰款的調整方案。""}",True,,,3.276402950286865,True,0,0,0,0.0,0.0,,,
case_20,0,SAT,,SAT,"{'person_or_related_trades_company_stock_or_equity_derivatives': False, 'trade_declaration_submitted': True, 'internal_control_system_established': True, 'internal_control_system_executed': True, 'insider_information_leaked': False, 'self_or_others_benefit_trades': False, 'business_operated_according_to_law_and_articles': True, 'duty_of_care': True, 'duty_of_loyalty': True, 'good_faith_principle': True, 'confidentiality_maintained': True}","{""judgment"": ""SAT"", ""modifications"": {""person_or_related_trades_company_stock_or_equity_derivatives"": false, ""trade_declaration_submitted"": true, ""internal_control_system_established"": true, ""internal_control_system_executed"": true, ""insider_information_leaked"": false, ""self_or_others_benefit_trades"": false, ""business_operated_according_to_law_and_articles"": true, ""duty_of_care"": true, ""duty_of_loyalty"": true, ""good_faith_principle"": true, ""confidentiality_maintained"": true}, ""reasoning"": ""為達到無罰",False,UNSAT,,4.3471360206604,False,11,11,27,100.0,40.74,"[{""variable"": ""person_or_related_trades_company_stock_or_equity_derivatives"", ""original"": true, ""modified"": false}, {""variable"": ""trade_declaration_submitted"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_system_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_system_executed"", ""original"": false, ""modified"": true}, {""variable"": ""insider_information_leaked"", ""original"": true, ""modified"": false}, {""variable"": ""self_or_others_benefit_trades"", ""original"": true, ""modified"": false}, {""variable"": ""business_operated_according_to_law_and_articles"", ""original"": false, ""modified"": true}, {""variable"": ""duty_of_care"", ""original"": false, ""modified"": true}, {""variable"": ""duty_of_loyalty"", ""original"": false, ""modified"": true}, {""variable"": ""good_faith_principle"", ""original"": false, ""modified"": true}, {""variable"": ""confidentiality_maintained"", ""original"": false, ""modified"": true}]",11,40.74
case_21,0,SAT,,SAT,"{'analyst_qualification_ok': True, 'passed_analyst_exam': True, 'media_analyst_qualification_ok': True, 'media_analyst_correction_required': False, 'media_analyst_correction_done': True, 'media_analyst_correction_completed': True, 'internal_control_designed': True, 'internal_control_executed': True, 'internal_control_reviewed': True, 'internal_control_requirements_met': True, 'internal_control_execution_and_review': True, 'violation_of_law': False, 'violation_behavior_rules': False, 'violation_items': False, 'violation_affecting_business': False}","{""judgment"": ""SAT"", ""modifications"": {""analyst_qualification_ok"": true, ""passed_analyst_exam"": true, ""media_analyst_qualification_ok"": true, ""media_analyst_correction_required"": false, ""media_analyst_correction_done"": true, ""media_analyst_correction_completed"": true, ""internal_control_designed"": true, ""internal_control_executed"": true, ""internal_control_reviewed"": true, ""internal_control_requirements_met"": true, ""internal_control_execution_and_review"": true, ""violation_of_law"": false, ""violation",False,UNSAT,,4.964677095413208,False,14,15,46,93.33,30.43,"[{""variable"": ""analyst_qualification_ok"", ""original"": false, ""modified"": true}, {""variable"": ""passed_analyst_exam"", ""original"": false, ""modified"": true}, {""variable"": ""media_analyst_qualification_ok"", ""original"": false, ""modified"": true}, {""variable"": ""media_analyst_correction_done"", ""original"": false, ""modified"": true}, {""variable"": ""media_analyst_correction_completed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_designed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_executed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_reviewed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_requirements_met"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_execution_and_review"", ""original"": false, ""modified"": true}, {""variable"": ""violation_of_law"", ""original"": true, ""modified"": false}, {""variable"": ""violation_behavior_rules"", ""original"": true, ""modified"": false}, {""variable"": ""violation_items"", ""original"": true, ""modified"": false}, {""variable"": ""violation_affecting_business"", ""original"": true, ""modified"": false}]",10,21.74
case_22,0,SAT,,SAT,"{'violation_of_law_or_regulation': False, 'corrective_action_ordered': False, 'restrict_investment': False}","{""judgment"": ""SAT"", ""modifications"": {""violation_of_law_or_regulation"": false, ""corrective_action_ordered"": false, ""restrict_investment"": false}, ""reasoning"": ""只要消除違法事實及相關處分，則不會有罰款，達成合規狀態。""}",False,UNSAT,,1.650596857070923,False,3,3,17,100.0,17.65,"[{""variable"": ""violation_of_law_or_regulation"", ""original"": true, ""modified"": false}, {""variable"": ""corrective_action_ordered"", ""original"": true, ""modified"": false}, {""variable"": ""restrict_investment"", ""original"": true, ""modified"": false}]",2,11.76
